Parameters:
num_ants = 30
num_iterations = 100
alpha = 0.9
beta = 0.7
rho = 0.15
Q = 125

Execution 1:
Best Solution: [0, 7, 1, 13, 2, 12, 3, 5, 4, 9, 14, 6, 11, 8, 10]
Cost: 2238
Execution Time: 1.1242663860321045 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
64, 2360, 674, 0.0, 3800.6, 5780
65, 2360, 674, 0.0, 4050.233333333333, 6282
66, 2340, 674, 0.0, 3494.266666666667, 4541
67, 2238, 674, 0.0, 3593.4666666666667, 4759
68, 2238, 674, 0.0, 4018.4666666666667, 5575
69, 2238, 674, 0.0, 3754.0, 5281
70, 2238, 674, 0.0, 3909.9, 5932
71, 2238, 674, 0.0, 3760.633333333333, 4927
72, 2238, 674, 0.0, 3622.0333333333333, 5098
73, 2238, 674, 0.0, 3550.0, 4936
74, 2238, 674, 0.0, 3674.4, 5708
75, 2238, 674, 0.0, 3700.5333333333333, 5419
76, 2238, 674, 0.0, 3470.1666666666665, 4963
77, 2238, 674, 0.0, 3690.633333333333, 4706
78, 2238, 674, 0.0, 3612.9666666666667, 4970
79, 2238, 674, 0.0, 3561.3, 5223
80, 2238, 674, 0.0, 3590.766666666667, 4706
81, 2238, 674, 0.0, 3712.9333333333334, 5381
82, 2238, 674, 0.0, 3779.266666666667, 4785
83, 2238, 674, 0.0, 3702.6, 4899
84, 2238, 674, 0.0, 3577.233333333333, 5573
85, 2238, 674, 0.0, 3550.266666666667, 4658
86, 2238, 674, 0.0, 3672.133333333333, 5471
87, 2238, 674, 0.0, 3520.3, 4967
88, 2238, 674, 0.0, 3624.3, 4536
89, 2238, 674, 0.0, 3747.633333333333, 5101
90, 2238, 674, 0.0, 3879.6, 4823
91, 2238, 674, 0.0, 3669.4, 5537
92, 2238, 674, 0.0, 3473.4333333333334, 5450
93, 2238, 674, 0.0, 3679.1, 5592
94, 2238, 674, 0.0, 3747.4, 5246
95, 2238, 674, 0.0, 3670.233333333333, 4912
96, 2238, 674, 0.0, 3590.4, 4733
97, 2238, 674, 0.0, 3651.633333333333, 4682
98, 2238, 674, 0.0, 3865.5666666666666, 5621
