Parameters:
num_ants = 20
num_iterations = 125
alpha = 0.9
beta = 1.3
rho = 0.15
Q = 25

Execution 1:
Best Solution: [0, 6, 4, 12, 3, 17, 15, 10, 8, 13, 19, 1, 2, 7, 11, 5, 16, 18, 14, 9]
Cost: 2922
Execution Time: 1.4223902225494385 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
23, 3869, 1157, 0.0, 5587.2, 6665
24, 3407, 1157, 0.0, 5201.85, 6534
25, 3407, 1157, 0.0, 5368.8, 7138
26, 3407, 1157, 0.0, 5211.4, 6689
27, 3407, 1157, 0.0, 5326.35, 6597
28, 3407, 1157, 0.0, 5102.25, 6921
29, 3407, 1157, 0.0, 4759.0, 6482
30, 3407, 1157, 0.0, 5054.5, 6020
31, 3407, 1157, 0.0, 4856.95, 6224
32, 3342, 1157, 0.0, 4873.9, 5817
33, 3342, 1157, 0.0, 4832.35, 6521
34, 3342, 1157, 0.0, 4636.6, 6800
35, 3342, 1157, 0.0, 4895.35, 6629
36, 3342, 1157, 0.0, 4946.55, 6347
37, 3342, 1157, 0.0, 4734.25, 6296
38, 3342, 1157, 0.0, 4583.0, 5585
39, 3342, 1157, 0.0, 4661.6, 5439
40, 3342, 1157, 0.0, 4693.95, 5898
41, 3342, 1157, 0.0, 4370.85, 5410
42, 3342, 1157, 0.0, 4361.4, 6229
43, 3342, 1157, 0.0, 4762.85, 6794
44, 3342, 1157, 0.0, 4916.35, 6874
45, 3124, 1157, 0.0, 4370.25, 5638
46, 3124, 1157, 0.0, 4439.85, 5988
47, 3124, 1157, 0.0, 4391.65, 5401
48, 3124, 1157, 0.0, 4485.35, 5687
49, 3124, 1157, 0.0, 4541.75, 5831
50, 3124, 1157, 0.0, 4502.2, 5681
51, 3056, 1157, 0.0, 4407.1, 6016
52, 3056, 1157, 0.0, 4262.25, 5367
53, 3056, 1157, 0.0, 4682.35, 5574
54, 3056, 1157, 0.0, 4195.15, 5116
55, 3056, 1157, 0.0, 4144.75, 5328
56, 3056, 1157, 0.0, 4270.1, 6310
57, 3056, 1157, 0.0, 4408.3, 6044
58, 3056, 1157, 0.0, 4156.45, 5530
59, 3056, 1157, 0.0, 4215.0, 5242
60, 3056, 1157, 0.0, 4193.6, 6119
61, 3056, 1157, 0.0, 4072.0, 4954
62, 3056, 1157, 0.0, 4264.15, 5356
63, 2967, 1157, 0.0, 3900.5, 5537
64, 2967, 1157, 0.0, 4203.85, 6067
65, 2967, 1157, 0.0, 4272.75, 5994
66, 2967, 1157, 0.0, 4023.7, 5301
67, 2967, 1157, 0.0, 4033.15, 5294
68, 2967, 1157, 0.0, 4437.65, 5260
69, 2967, 1157, 0.0, 4134.95, 5317
70, 2967, 1157, 0.0, 4043.35, 5426
71, 2967, 1157, 0.0, 4366.55, 5605
72, 2967, 1157, 0.0, 4104.2, 5335
73, 2967, 1157, 0.0, 4159.15, 5218
74, 2967, 1157, 0.0, 4175.4, 5813
75, 2967, 1157, 0.0, 4126.65, 5009
76, 2967, 1157, 0.0, 4090.3, 6073
77, 2967, 1157, 0.0, 4225.65, 6192
78, 2967, 1157, 0.0, 4064.4, 5794
79, 2967, 1157, 0.0, 4031.1, 4949
80, 2966, 1157, 0.0, 3955.6, 5079
81, 2922, 1157, 0.0, 3879.0, 5220
82, 2922, 1157, 0.0, 3875.5, 4828
83, 2922, 1157, 0.0, 4184.85, 5609
84, 2922, 1157, 0.0, 4200.0, 5227
85, 2922, 1157, 0.0, 4178.1, 4972
86, 2922, 1157, 0.0, 3919.85, 4919
87, 2922, 1157, 0.0, 4191.65, 5478
88, 2922, 1157, 0.0, 4074.35, 5117
89, 2922, 1157, 0.0, 4102.65, 5202
90, 2922, 1157, 0.0, 3963.35, 5362
91, 2922, 1157, 0.0, 3823.2, 5071
92, 2922, 1157, 0.0, 3992.6, 4867
93, 2922, 1157, 0.0, 4220.15, 5581
94, 2922, 1157, 0.0, 4007.85, 4909
95, 2922, 1157, 0.0, 4029.45, 5529
96, 2922, 1157, 0.0, 3889.9, 4529
97, 2922, 1157, 0.0, 3922.95, 4844
98, 2922, 1157, 0.0, 3900.9, 5392
99, 2922, 1157, 0.0, 3975.45, 5130
100, 2922, 1157, 0.0, 3724.85, 5762
101, 2922, 1157, 0.0, 3840.9, 4943
102, 2922, 1157, 0.0, 4039.25, 6300
103, 2922, 1157, 0.0, 4048.35, 4699
104, 2922, 1157, 0.0, 3950.4, 5145
105, 2922, 1157, 0.0, 4078.15, 4827
106, 2922, 1157, 0.0, 3692.65, 4876
107, 2922, 1157, 0.0, 3959.85, 5419
108, 2860, 1157, 0.0, 3750.05, 4947
109, 2860, 1157, 0.0, 3905.8, 5529
110, 2860, 1157, 0.0, 4019.55, 5754
111, 2860, 1157, 0.0, 3799.25, 4988
112, 2860, 1157, 0.0, 4140.45, 5209
113, 2860, 1157, 0.0, 4168.55, 5596
114, 2860, 1157, 0.0, 3902.4, 5954
115, 2860, 1157, 0.0, 4178.15, 6168
116, 2860, 1157, 0.0, 4064.15, 5758
117, 2860, 1157, 0.0, 3863.3, 4991
118, 2860, 1157, 0.0, 3983.3, 4952
119, 2860, 1157, 0.0, 3963.7, 4976
120, 2860, 1157, 0.0, 4226.45, 4957
121, 2860, 1157, 0.0, 4000.25, 5271
122, 2860, 1157, 0.0, 4014.55, 5511
123, 2860, 1157, 0.0, 3969.1, 5003
124, 2860, 1157, 0.0, 4184.95, 5729
125, 2860, 1157, 0.0, 3806.5, 5439

Execution 3:
Best Solution: [0, 6, 4, 12, 3, 16, 18, 14, 15, 10, 8, 13, 2, 7, 11, 17, 19, 1, 5, 9]
Cost: 2962
Execution Time: 1.4139094352722168 seconds

Results per Iteration:
Iteration, Best Cost, Prizes Collected, Penalties, Average Colony Cost, Worst Solution Cost
1, 5381, 1157, 0.0, 6948.35, 8544
2, 4280, 1157, 0.0, 6689.7, 8723
3, 4280, 1157, 0.0, 6818.9, 8386
4, 4280, 1157, 0.0, 6773.05, 8208
5, 4280, 1157, 0.0, 6189.25, 8430
6, 4280, 1157, 0.0, 6652.75, 7764
7, 4280, 1157, 0.0, 6460.4, 7739
8, 4280, 1157, 0.0, 6407.9, 8284
9, 4280, 1157, 0.0, 6485.15, 7883
10, 4280, 1157, 0.0, 6816.0, 9132
11, 4280, 1157, 0.0, 6136.45, 8400
12, 4280, 1157, 0.0, 6459.8, 8176
13, 4280, 1157, 0.0, 6467.55, 7846
14, 4280, 1157, 0.0, 6403.9, 7788
15, 4280, 1157, 0.0, 5936.6, 7900
16, 4280, 1157, 0.0, 6636.9, 8614
17, 4280, 1157, 0.0, 6116.55, 7757
18, 4280, 1157, 0.0, 6018.35, 8171
19, 4280, 1157, 0.0, 5885.65, 7961
20, 4280, 1157, 0.0, 5887.45, 7186
21, 4076, 1157, 0.0, 5600.95, 8990
22, 4076, 1157, 0.0, 5532.55, 8076
23, 4015, 1157, 0.0, 5523.35, 6984
24, 4015, 1157, 0.0, 5447.15, 7184
